#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.610939E-03   0.197094E+08   0.197083E+08   0.419262E+07   0.396970E+07   0.195850E+08   0.197087E+08   0.197092E+08   0.197097E+08  -0.470947E+00   0.104049E+08   0.104046E+08   0.187906E+03
   0.674597E-03   0.196939E+08   0.196926E+08   0.290204E+07   0.271575E+07   0.195426E+08   0.196930E+08   0.196937E+08   0.196937E+08  -0.470547E+00   0.103966E+08   0.103962E+08   0.189412E+03
   0.744888E-03   0.196755E+08   0.196741E+08   0.199031E+07   0.185193E+07   0.194918E+08   0.196745E+08   0.196753E+08   0.196750E+08  -0.470082E+00   0.103867E+08   0.103862E+08   0.188202E+03
   0.822503E-03   0.196540E+08   0.196524E+08   0.144740E+07   0.136174E+07   0.194313E+08   0.196527E+08   0.196537E+08   0.196531E+08  -0.469545E+00   0.103751E+08   0.103746E+08   0.184165E+03
   0.908205E-03   0.196287E+08   0.196270E+08   0.117929E+07   0.114176E+07   0.193594E+08   0.196272E+08   0.196285E+08   0.196275E+08  -0.468923E+00   0.103615E+08   0.103610E+08   0.177406E+03
   0.100284E-02   0.195993E+08   0.195974E+08   0.103052E+07   0.102701E+07   0.192743E+08   0.195975E+08   0.195990E+08   0.195978E+08  -0.468204E+00   0.103457E+08   0.103452E+08   0.168242E+03
   0.110733E-02   0.195650E+08   0.195630E+08   0.854328E+06   0.865481E+06   0.191740E+08   0.195630E+08   0.195647E+08   0.195632E+08  -0.467372E+00   0.103274E+08   0.103269E+08   0.157148E+03
   0.122271E-02   0.195253E+08   0.195232E+08   0.602349E+06   0.611320E+06   0.190562E+08   0.195229E+08   0.195250E+08   0.195230E+08  -0.466409E+00   0.103062E+08   0.103057E+08   0.144675E+03
   0.135011E-02   0.194794E+08   0.194772E+08   0.356622E+06   0.355669E+06   0.189189E+08   0.194766E+08   0.194791E+08   0.194767E+08  -0.465297E+00   0.102817E+08   0.102812E+08   0.131399E+03
   0.149079E-02   0.194265E+08   0.194243E+08   0.233201E+06   0.223757E+06   0.187603E+08   0.194231E+08   0.194262E+08   0.194232E+08  -0.464016E+00   0.102535E+08   0.102530E+08   0.117935E+03
   0.164613E-02   0.193656E+08   0.193634E+08   0.221741E+06  -0.172296E+06   0.185784E+08   0.193617E+08   0.193653E+08   0.193618E+08  -0.462545E+00   0.102211E+08   0.102206E+08   0.104973E+03
   0.181765E-02   0.192959E+08   0.192936E+08   0.185969E+06  -0.140796E+06   0.183714E+08   0.192913E+08   0.192955E+08   0.192914E+08  -0.460861E+00   0.101839E+08   0.101834E+08   0.931884E+02
   0.200704E-02   0.192161E+08   0.192138E+08   0.898708E+05  -0.114996E+06   0.181382E+08   0.192109E+08   0.192157E+08   0.192109E+08  -0.458937E+00   0.101415E+08   0.101410E+08   0.830204E+02
   0.221617E-02   0.191252E+08   0.191229E+08   0.524852E+05  -0.938688E+05   0.178777E+08   0.191192E+08   0.191249E+08   0.191192E+08  -0.456746E+00   0.100932E+08   0.100927E+08   0.745293E+02
   0.244709E-02   0.190221E+08   0.190196E+08   0.595321E+05  -0.765739E+05   0.175895E+08   0.190152E+08   0.190217E+08   0.190152E+08  -0.454261E+00   0.100383E+08   0.100378E+08   0.674812E+02
   0.270207E-02   0.189054E+08   0.189028E+08   0.240444E+05  -0.624198E+05   0.172736E+08   0.188976E+08   0.189050E+08   0.188976E+08  -0.451450E+00   0.997634E+07   0.997585E+07   0.614276E+02
   0.298361E-02   0.187739E+08   0.187711E+08   0.246272E+05  -0.508409E+05   0.169297E+08   0.187652E+08   0.187735E+08   0.187652E+08  -0.448284E+00   0.990652E+07   0.990602E+07   0.558321E+02
   0.329450E-02   0.186263E+08   0.186233E+08   0.103165E+05  -0.413728E+05   0.165576E+08   0.186165E+08   0.186259E+08   0.186165E+08  -0.444733E+00   0.982818E+07   0.982768E+07   0.504203E+02
   0.363777E-02   0.184614E+08   0.184581E+08   0.453831E+04  -0.336348E+05   0.161564E+08   0.184505E+08   0.184609E+08   0.184505E+08  -0.440766E+00   0.974066E+07   0.974016E+07   0.452772E+02
   0.401682E-02   0.182777E+08   0.182742E+08  -0.308937E+04  -0.273144E+05   0.157250E+08   0.182656E+08   0.182771E+08   0.182656E+08  -0.436349E+00   0.964324E+07   0.964275E+07   0.406965E+02
   0.443536E-02   0.180740E+08   0.180701E+08   0.213362E+03  -0.221553E+05   0.152619E+08   0.180607E+08   0.180734E+08   0.180607E+08  -0.431453E+00   0.953523E+07   0.953474E+07   0.367838E+02
   0.489751E-02   0.178489E+08   0.178446E+08  -0.198913E+04  -0.179473E+05   0.147678E+08   0.178343E+08   0.178482E+08   0.178343E+08  -0.426046E+00   0.941593E+07   0.941544E+07   0.332993E+02
   0.540781E-02   0.176012E+08   0.175964E+08  -0.268876E+04  -0.145177E+05   0.142428E+08   0.175853E+08   0.176004E+08   0.175853E+08  -0.420095E+00   0.928466E+07   0.928417E+07   0.300225E+02
   0.597129E-02   0.173294E+08   0.173240E+08  -0.194923E+04  -0.117252E+05   0.136861E+08   0.173121E+08   0.173286E+08   0.173121E+08  -0.413570E+00   0.914070E+07   0.914021E+07   0.270679E+02
   0.659348E-02   0.170327E+08   0.170265E+08  -0.241592E+04  -0.945389E+04   0.130667E+08   0.170138E+08   0.170317E+08   0.170138E+08  -0.406444E+00   0.898348E+07   0.898300E+07   0.245088E+02
   0.728050E-02   0.167087E+08   0.167017E+08  -0.211656E+04  -0.760795E+04   0.124333E+08   0.166883E+08   0.167076E+08   0.166883E+08  -0.398668E+00   0.881190E+07   0.881142E+07   0.221745E+02
   0.803911E-02   0.163563E+08   0.163482E+08  -0.204062E+04  -0.610961E+04   0.117732E+08   0.163344E+08   0.163550E+08   0.163344E+08  -0.390212E+00   0.862532E+07   0.862484E+07   0.200869E+02
   0.887676E-02   0.159746E+08   0.159653E+08  -0.235853E+04  -0.489518E+04   0.110955E+08   0.159512E+08   0.159731E+08   0.159512E+08  -0.381057E+00   0.842328E+07   0.842279E+07   0.182448E+02
   0.980169E-02   0.155623E+08   0.155515E+08  -0.122262E+04  -0.391229E+04   0.104012E+08   0.155373E+08   0.155606E+08   0.155373E+08  -0.371171E+00   0.820509E+07   0.820460E+07   0.165872E+02
   0.108230E-01   0.151179E+08   0.151054E+08  -0.159135E+04  -0.311800E+04   0.968974E+07   0.150915E+08   0.151160E+08   0.150915E+08  -0.360521E+00   0.796999E+07   0.796950E+07   0.151387E+02
   0.119507E-01   0.146403E+08   0.146258E+08  -0.136471E+04  -0.247723E+04   0.896679E+07   0.146124E+08   0.146380E+08   0.146124E+08  -0.349076E+00   0.771735E+07   0.771686E+07   0.138371E+02
   0.131959E-01   0.141283E+08   0.141115E+08  -0.982164E+03  -0.196131E+04   0.824013E+07   0.140991E+08   0.141257E+08   0.140991E+08  -0.336814E+00   0.744662E+07   0.744611E+07   0.126946E+02
   0.145709E-01   0.135810E+08   0.135616E+08  -0.965407E+03  -0.154680E+04   0.751634E+07   0.135507E+08   0.135780E+08   0.135507E+08  -0.323712E+00   0.715730E+07   0.715679E+07   0.116781E+02
   0.160892E-01   0.129980E+08   0.129755E+08  -0.874899E+03  -0.121459E+04   0.679795E+07   0.129665E+08   0.129945E+08   0.129665E+08  -0.309758E+00   0.684914E+07   0.684862E+07   0.107741E+02
   0.177656E-01   0.123792E+08   0.123535E+08  -0.534388E+03  -0.949072E+03   0.609437E+07   0.123469E+08   0.123752E+08   0.123469E+08  -0.294954E+00   0.652218E+07   0.652165E+07   0.995819E+01
   0.196167E-01   0.117258E+08   0.116965E+08  -0.503228E+03  -0.737571E+03   0.541119E+07   0.116928E+08   0.117212E+08   0.116928E+08  -0.279329E+00   0.617700E+07   0.617646E+07   0.921370E+01
